,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
0,Bir I of Kanem,Chad,Stub,AFRICA,"1,284",15.4
2,Yos Por,Cambodia,Stub,ASIA,"4,536",16
5,Robert Douglas Cook,Canada,Stub,NORTHERN AMERICA,365,37.2
6,List of Grand Viziers of Egypt,Egypt,Stub,AFRICA,"1,284",97
7,Sehba Musharraf,Pakistan,Stub,ASIA,"4,536",200.6
8,Butler-Belmont family,United States,Start,NORTHERN AMERICA,365,328
9,List of Canadian incumbents by year,Canada,Stub,NORTHERN AMERICA,365,37.2
10,Sheikh Sadiq Ali Ansari,India,Stub,ASIA,"4,536","1,371.3"
11,Cayetano Pacana,Philippines,Stub,ASIA,"4,536",107
12,Abdullah II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
13,Heard-Hawes family,United States,C,NORTHERN AMERICA,365,328
15,List of German politicians,Germany,Stub,EUROPE,746,82.8
16,Raspicious Dzanjalimodzi,Malawi,Stub,AFRICA,"1,284",19.1
17,Manuel Antonio Blas Sáenz,Nicaragua,Stub,LATIN AMERICA AND THE CARIBBEAN,649,6.3
18,Béla Vörösmarty,Hungary,Stub,EUROPE,746,9.8
20,Finn Sjue,Norway,Stub,EUROPE,746,5.3
22,Russell family (American political family),United States,Stub,NORTHERN AMERICA,365,328
23,Maximo Suniel,Philippines,Stub,ASIA,"4,536",107
24,Mihály Mikes (soldier),Hungary,Stub,EUROPE,746,9.8
25,The Man with the Chocolate Robe,Iran,Stub,ASIA,"4,536",81.6
26,List of Malta Labour Party leaders,Malta,Stub,EUROPE,746,0.5
27,Marquis of Amboage,Spain,Stub,EUROPE,746,46.7
28,Salmama II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
29,Kuri I of Kanem,Chad,Stub,AFRICA,"1,284",15.4
30,Mohammed I of Kanem,Chad,Stub,AFRICA,"1,284",15.4
32,"List of members of the parliament of Malta, 2008–13",Malta,B,EUROPE,746,0.5
34,Samuel Nii Ayi Mankattah,Ghana,Stub,AFRICA,"1,284",29.5
35,Hemed Khamis,Tanzania,Stub,AFRICA,"1,284",59.1
37,Council of Ministers of Togo,Togo,Start,AFRICA,"1,284",8
39,Abdullah Al Nuaimi (politician),United Arab Emirates,Start,ASIA,"4,536",9.5
40,Zhang Zhenzhou,China,Stub,ASIA,"4,536","1,393.8"
41,Feng Liao,China,Start,ASIA,"4,536","1,393.8"
42,Wu Shihuo,China,Start,ASIA,"4,536","1,393.8"
43,Kennedy Kiliku,Kenya,Stub,AFRICA,"1,284",51
44,Kamu de Almeida,Angola,Stub,AFRICA,"1,284",30.4
45,Hiša Marije Pomočnice,Slovenia,Stub,EUROPE,746,2.1
46,Đuro Šurmin,Croatia,Start,EUROPE,746,4.1
47,Suishō,Japan,Stub,ASIA,"4,536",126.5
48,Nikolai Sulima,Russia,Stub,EUROPE,746,147.3
49,Khayelihle Mathaba,South Africa,Stub,AFRICA,"1,284",57.7
50,Vilho Turunen,Finland,Stub,EUROPE,746,5.5
52,Vihtori Aromaa,Finland,Stub,EUROPE,746,5.5
53,Jonathan Wartiovaara,Finland,Stub,EUROPE,746,5.5
54,Arvi Turkka,Finland,Stub,EUROPE,746,5.5
55,Juho Heikkinen,Finland,Stub,EUROPE,746,5.5
56,Emanuel Aromaa,Finland,Stub,EUROPE,746,5.5
57,Jukka Lankila,Finland,Stub,EUROPE,746,5.5
58,Jalmari Malmi,Finland,Stub,EUROPE,746,5.5
59,Viljo Pousi,Finland,Stub,EUROPE,746,5.5
60,Jooseppi Kauranen,Finland,Stub,EUROPE,746,5.5
61,Sardar Aurang Zeb Khan,Pakistan,Stub,ASIA,"4,536",200.6
62,Jeremiah Kasambala,Tanzania,Stub,AFRICA,"1,284",59.1
63,Sofia Hjulgrén,Finland,Stub,EUROPE,746,5.5
64,Vihtori Viitanen,Finland,Stub,EUROPE,746,5.5
65,Tirso Neri,Philippines,Stub,ASIA,"4,536",107
66,Cleisthenes (son of Sibyrtius),Greece,Stub,EUROPE,746,10.6
67,Demonax (lawmaker),Greece,Start,EUROPE,746,10.6
68,List of 2009 Canadian incumbents,Canada,Start,NORTHERN AMERICA,365,37.2
69,"Zero, None Of The Above",United Kingdom,Stub,EUROPE,746,66.4
70,Johan Franzén (politician),Finland,Stub,EUROPE,746,5.5
72,Liu Hongchang,China,B,ASIA,"4,536","1,393.8"
73,Custos Rotulorum of County Wicklow,Ireland,Stub,EUROPE,746,4.9
74,Custos Rotulorum of County Cork,Ireland,Stub,EUROPE,746,4.9
75,Book:Two Political Biographies,India,Stub,ASIA,"4,536","1,371.3"
76,Hegesippus (orator),Greece,Stub,EUROPE,746,10.6
77,Pheroze Sethna,India,Stub,ASIA,"4,536","1,371.3"
78,Ibrahim Kassas,Tunisia,Stub,AFRICA,"1,284",11.6
79,Dilip Sarkar,India,Stub,ASIA,"4,536","1,371.3"
81,Gatluak Deng Garang,South Sudan,Stub,AFRICA,"1,284",13
82,List of members of the National Assembly of Botswana 2009–14,Botswana,Start,AFRICA,"1,284",2.2
83,Aliyu Ibrahim Gebi,Nigeria,Stub,AFRICA,"1,284",195.9
84,Wang Jichang,China,Start,ASIA,"4,536","1,393.8"
85,Waldemir Moka,Brazil,Stub,LATIN AMERICA AND THE CARIBBEAN,649,209.4
86,Custos Rotulorum of County Waterford,Ireland,Stub,EUROPE,746,4.9
87,Lee Ja-kyum,"Korea, South",Stub,ASIA,"4,536",51.8
88,Wei Huan-zi,China,Stub,ASIA,"4,536","1,393.8"
89,O'Higgins Pioche,Chile,Stub,LATIN AMERICA AND THE CARIBBEAN,649,18.6
90,"List of Captains Regent of San Marino, 1500–1700",San Marino,Start,EUROPE,746,0.03
91,Eiler Grubbe,Denmark,Stub,EUROPE,746,5.8
98,Olli Zitting,Finland,Stub,EUROPE,746,5.5
99,Pierre Philibert de Blancheton,France,Stub,EUROPE,746,65.1
100,Luiza Xhuvani,Albania,Stub,EUROPE,746,2.9
101,Diego de Villalba y Toledo,Spain,Start,EUROPE,746,46.7
102,Jabulani Dube,Zimbabwe,Stub,AFRICA,"1,284",14
104,Ministry of Economy and Finance (Benin),Benin,Stub,AFRICA,"1,284",11.5
105,Gheorghe Barbu,Romania,Stub,EUROPE,746,19.5
106,Pan Yunduan,China,Stub,ASIA,"4,536","1,393.8"
107,Otto Elfving,Finland,Stub,EUROPE,746,5.5
108,List of Sri Lankan politicians,Sri Lanka,Stub,ASIA,"4,536",21.7
109,Fathema Ismail,India,Stub,ASIA,"4,536","1,371.3"
110,Rafael Simancas,Spain,Stub,EUROPE,746,46.7
111,Adela Serra-Ty,Philippines,Stub,ASIA,"4,536",107
112,Muhammad al-Ghafri,Syria,Stub,ASIA,"4,536",18.3
114,Eneida de León,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
115,Read family of Delaware,United States,Start,NORTHERN AMERICA,365,328
117,Rossy Barbour,Canada,Stub,NORTHERN AMERICA,365,37.2
118,Reginald Nii Bi Ayibonte,Ghana,Stub,AFRICA,"1,284",29.5
119,Franz Schimmelpfennig von der Ove,Poland,Stub,EUROPE,746,38.4
120,Ville Korhonen (politician),Finland,Stub,EUROPE,746,5.5
121,Onni Hallsten,Finland,Stub,EUROPE,746,5.5
122,Yosia Nadiope of Busoga,Uganda,Stub,AFRICA,"1,284",44.1
123,María del Socorro Bustamante,Colombia,Stub,LATIN AMERICA AND THE CARIBBEAN,649,49.8
124,Enrique Pintado,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
125,Instructions of the Year XIII,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
126,Governor of Gagauzia,Moldova,Stub,EUROPE,746,3.5
127,Neferkheperu-her-sekheper,Egypt,Start,AFRICA,"1,284",97
128,Abeifaa Karbo,Ghana,Stub,AFRICA,"1,284",29.5
129,Auguste Louis Antoine Fabre,France,Stub,EUROPE,746,65.1
130,Maksud Ibragimov,Tajikistan,Start,ASIA,"4,536",9.1
131,Miguel R. Morales,Nicaragua,Stub,LATIN AMERICA AND THE CARIBBEAN,649,6.3
132,Aljoša Čampara,Bosnia-Herzegovina,Start,EUROPE,746,3.5
133,Walter Simon (philanthropist),Germany,Start,EUROPE,746,82.8
134,Abu Sayyaf (Jordan),Jordan,Start,ASIA,"4,536",10.2
136,Torsten Nielsen,Denmark,Stub,EUROPE,746,5.8
138,Mufti Abdullah,Pakistan,Stub,ASIA,"4,536",200.6
139,William Matthew Harries,South Africa,Stub,AFRICA,"1,284",57.7
140,Maanu Paul,New Zealand,Stub,OCEANIA,41,4.9
141,County governor (Lithuania),Lithuania,Stub,EUROPE,746,2.8
142,Burhan Muhammad,Indonesia,Stub,ASIA,"4,536",265.2
143,Martim Afonso de Brito,Portugal,Stub,EUROPE,746,10.3
144,Gonghe Regency,China,Stub,ASIA,"4,536","1,393.8"
145,Irshadali Sumra,Kenya,Stub,AFRICA,"1,284",51
146,Koufu,China,Stub,ASIA,"4,536","1,393.8"
147,Political families of Odisha,India,Stub,ASIA,"4,536","1,371.3"
148,Firmin Aerts,Belgium,Stub,EUROPE,746,11.4
150,Philip Johannes Andries Watermeyer,South Africa,Start,AFRICA,"1,284",57.7
151,Ioan Rus,Romania,Stub,EUROPE,746,19.5
152,Pieter Adrianus Ossewaarde,Netherlands,Stub,EUROPE,746,17.2
153,Christoffel van Swoll,Netherlands,Start,EUROPE,746,17.2
154,National Foundation for Women Legislators,United States,Start,NORTHERN AMERICA,365,328
155,Les Scheininger,Canada,C,NORTHERN AMERICA,365,37.2
156,Patrick Canning,Canada,Start,NORTHERN AMERICA,365,37.2
157,Kalina Krumova,Bulgaria,Start,EUROPE,746,7
158,Pierre Chatenet,France,Stub,EUROPE,746,65.1
159,Henry Soum,Monaco,Stub,EUROPE,746,0.04
160,Brij Bhushan Mehra,India,Stub,ASIA,"4,536","1,371.3"
161,Aurelian Pavelescu,Romania,Stub,EUROPE,746,19.5
162,Madut Kon Awan,South Sudan,Stub,AFRICA,"1,284",13
163,Taieb Ghafes,Morocco,Stub,AFRICA,"1,284",35.2
164,Teodor Andrault de Langeron,Poland,Stub,EUROPE,746,38.4
166,Ghassan Ashqar,Lebanon,Stub,ASIA,"4,536",6.1
167,Magnús Orri Schram,Iceland,Stub,EUROPE,746,0.4
168,Wusu Sannoh,Sierra Leone,Stub,AFRICA,"1,284",7.7
169,Kuri II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
170,Laroussi Mizouri,Tunisia,Stub,AFRICA,"1,284",11.6
171,Hashid Abdullah al-Ahmar,Yemen,Stub,ASIA,"4,536",28.9
172,Erkin Alymbekov,Kyrgyzstan,Stub,ASIA,"4,536",6.1
173,Angelo Staniscia,Italy,Stub,EUROPE,746,60.6
174,Malik Adnan Hayat Noon,Pakistan,Stub,ASIA,"4,536",200.6
175,Samou Seidou Adambi,Benin,Stub,AFRICA,"1,284",11.5
176,Porfirio Smerdou,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
177,Lise Nordin,Sweden,Stub,EUROPE,746,10.2
178,Fletcher Dulini,Zimbabwe,Stub,AFRICA,"1,284",14
179,Krzysztof Abrahamowicz,Poland,Stub,EUROPE,746,38.4
180,Dilaver Bey,Turkey,Stub,ASIA,"4,536",81.3
181,Horace Mann Thu-Jaune,Madagascar,Stub,AFRICA,"1,284",26.3
183,Murad Quenili,Afghanistan,Stub,ASIA,"4,536",36.5
184,Bir II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
185,Gerald Hill (politician),Canada,Stub,NORTHERN AMERICA,365,37.2
186,List of Presidents of Alsace,France,Stub,EUROPE,746,65.1
187,John R. O'Dea,Canada,Stub,NORTHERN AMERICA,365,37.2
188,Annaberdi Kakabaýew,Turkmenistan,Stub,ASIA,"4,536",5.9
189,Salim Yahya al-Kharega,Yemen,Stub,ASIA,"4,536",28.9
190,Faida Mohamed Bakar,Tanzania,Stub,AFRICA,"1,284",59.1
191,Hosea Kiplagat,Kenya,Stub,AFRICA,"1,284",51
192,Michael D. Lett,Grenada,Stub,LATIN AMERICA AND THE CARIBBEAN,649,0.1
193,Than Sina,Cambodia,Stub,ASIA,"4,536",16
194,Samuel J. Hefferton,Canada,Start,NORTHERN AMERICA,365,37.2
195,Armen Rustamyan,Armenia,Stub,ASIA,"4,536",3
196,Abdulahi Ahmed Afrah,Somalia,Stub,AFRICA,"1,284",15.2
197,Ólafur Garðar Einarsson,Iceland,Stub,EUROPE,746,0.4
198,Badar,Afghanistan,Stub,ASIA,"4,536",36.5
199,Dušan Švantner,Slovakia,Stub,EUROPE,746,5.4
200,Óli Þorbjörn Guðbjartsson,Iceland,Stub,EUROPE,746,0.4
201,Mohammed Qalamuddin,Afghanistan,Stub,ASIA,"4,536",36.5
202,Patrick Bourson,France,Stub,EUROPE,746,65.1
203,Lininy,Madagascar,Stub,AFRICA,"1,284",26.3
205,Azeez Issa Adesiji,Nigeria,Stub,AFRICA,"1,284",195.9
207,Ali al-Bahadili,Iraq,Stub,ASIA,"4,536",40.2
208,Valerian Revenco,Moldova,Stub,EUROPE,746,3.5
209,Presidential Palace Historical Site,Vietnam,Stub,ASIA,"4,536",94.7
210,Viktor Antonov,Russia,Stub,EUROPE,746,147.3
211,Elsa Malpartida,Peru,Stub,LATIN AMERICA AND THE CARIBBEAN,649,32.2
212,Rasoanaivo,Madagascar,Stub,AFRICA,"1,284",26.3
213,Sadio Lamine Sow,Mali,Stub,AFRICA,"1,284",19.4
214,Narayan Sharma Paudel,Nepal,Stub,ASIA,"4,536",29.7
215,Mataʻiʻulua ‘i Fonuamotu,Tonga,Stub,OCEANIA,41,0.1
216,San Tun,Myanmar,Stub,ASIA,"4,536",53.9
217,Masahiro Futahashi,Japan,Stub,ASIA,"4,536",126.5
218,Yannis Moralis (politician),Greece,Stub,EUROPE,746,10.6
219,Macarena Escudero,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
220,André Boulloche,France,Stub,EUROPE,746,65.1
223,Norma Colpari,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
224,Roosevelt Jayjay,Liberia,Stub,AFRICA,"1,284",4.9
225,Joshua Nii Laryea Afotey-Agbo,Ghana,Stub,AFRICA,"1,284",29.5
226,Military Committee of the Congolese Party of Labour,Congo,Stub,AFRICA,"1,284",5.4
228,Ahmad bin Eid al-Thani,Qatar,Stub,ASIA,"4,536",2.7
229,Liga Federal,Uruguay,Start,LATIN AMERICA AND THE CARIBBEAN,649,3.5
230,George Samuel Ranglin,Jamaica,Stub,LATIN AMERICA AND THE CARIBBEAN,649,2.9
231,Rubén Pellanda,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
232,Raúl Lacabanne,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
233,Juan Carlos Reyes (governor),Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
234,Bernardo Bas,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
235,Alexander Dunphy,Canada,Stub,NORTHERN AMERICA,365,37.2
236,Gordon Dawe,Canada,Stub,NORTHERN AMERICA,365,37.2
237,Bijai Prasad,Fiji,Stub,OCEANIA,41,0.9
238,Barton Scotland,Guyana,Stub,LATIN AMERICA AND THE CARIBBEAN,649,0.8
239,Paul Thoms,Canada,Stub,NORTHERN AMERICA,365,37.2
240,Frederick B. Rowe,Canada,Stub,NORTHERN AMERICA,365,37.2
241,Allan Evans (politician),Canada,Stub,NORTHERN AMERICA,365,37.2
243,Asesela Sadole,Fiji,Stub,OCEANIA,41,0.9
244,Luke Woodrow,Canada,Stub,NORTHERN AMERICA,365,37.2
245,William G. Patterson,Canada,Stub,NORTHERN AMERICA,365,37.2
246,Simeon Bouro,Solomon Islands,Start,OCEANIA,41,0.7
247,Salisu Buhari,Nigeria,Stub,AFRICA,"1,284",195.9
248,Hou Zongbin,China,Stub,ASIA,"4,536","1,393.8"
249,Jorge Zavala,Ecuador,Stub,LATIN AMERICA AND THE CARIBBEAN,649,17
250,Harry Quaderer,Liechtenstein,Stub,EUROPE,746,0.04
251,Freeman White (politician),Canada,Stub,NORTHERN AMERICA,365,37.2
252,Leneuoti Matusi,Tuvalu,Stub,OCEANIA,41,0.01
253,Second Toafa Ministry,Tuvalu,Start,OCEANIA,41,0.01
254,William J. MacNeil,Canada,Stub,NORTHERN AMERICA,365,37.2
255,Miguel Cané,Argentina,Start,LATIN AMERICA AND THE CARIBBEAN,649,44.5
256,Gabriel Antonio Pereira,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
257,Wilhelm Wallbaum,Germany,Stub,EUROPE,746,82.8
258,List of São Toméan politicians,Sao Tome and Principe,Stub,AFRICA,"1,284",0.2
259,Larbi Messari,Morocco,Start,AFRICA,"1,284",35.2
260,Sergey Zorin,Russia,Stub,EUROPE,746,147.3
261,Fakhrul Islam,Pakistan,Stub,ASIA,"4,536",200.6
262,Cora Amalia Castilla,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
263,Victor Macky,New Zealand,Start,OCEANIA,41,4.9
265,Mohamed Mohamud Hayd,Somalia,Stub,AFRICA,"1,284",15.2
266,Sergey Kalyakin,Belarus,Stub,EUROPE,746,9.5
267,List of Slovenian politicians,Slovenia,Stub,EUROPE,746,2.1
268,Mateo Vidal,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
269,John Collins (Canadian politician),Canada,Stub,NORTHERN AMERICA,365,37.2
270,Osea Gavidi,Fiji,Start,OCEANIA,41,0.9
271,Cui Yuying,China,Start,ASIA,"4,536","1,393.8"
272,Abdul Rahim Ishak,Singapore,Start,ASIA,"4,536",5.8
273,Gumercinda Páez,Panama,GA,LATIN AMERICA AND THE CARIBBEAN,649,4.2
274,Des Dalton,Ireland,Start,EUROPE,746,4.9
275,Claude Pivi,Guinea,Stub,AFRICA,"1,284",11.9
277,Bernardo Grinspun,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
279,Michael Konelios,Marshall Islands,Stub,OCEANIA,41,0.06
280,Malik Khuda Buksh Tiwana,Pakistan,Stub,ASIA,"4,536",200.6
281,Barry Hynes,Canada,Stub,NORTHERN AMERICA,365,37.2
282,"Domonkos II, Archbishop of Esztergom",Hungary,Stub,EUROPE,746,9.8
283,Veríssimo Aguiar Cabral,Portugal,Stub,EUROPE,746,10.3
284,Federico Policani,Panama,Stub,LATIN AMERICA AND THE CARIBBEAN,649,4.2
285,Alexander Barybin,Russia,Stub,EUROPE,746,147.3
287,Book:Australian Prime Ministers,Australia,Stub,OCEANIA,41,24.1
288,Laura Alvarez,United Kingdom,Stub,EUROPE,746,66.4
289,Mirosław Czech,Poland,Stub,EUROPE,746,38.4
290,Poli Karastoyanova,Bulgaria,Start,EUROPE,746,7
291,Actisanes,Ethiopia,Stub,AFRICA,"1,284",107.5
292,Azhar Cachalia,South Africa,Stub,AFRICA,"1,284",57.7
294,Simona-Alice Man,Romania,Stub,EUROPE,746,19.5
295,Jerônima Mesquita,Brazil,Stub,LATIN AMERICA AND THE CARIBBEAN,649,209.4
296,Jose Solis,Philippines,Stub,ASIA,"4,536",107
297,Viriato Fiallo,Dominican Republic,Start,LATIN AMERICA AND THE CARIBBEAN,649,10.8
298,Rodolfo Gabrielli,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
299,Eli Wong,Malaysia,Stub,ASIA,"4,536",32.5
300,Horácio de Matos,Brazil,Stub,LATIN AMERICA AND THE CARIBBEAN,649,209.4
303,Brendan Howard,Canada,Stub,NORTHERN AMERICA,365,37.2
304,Benigno Andrade Flores,Ecuador,Stub,LATIN AMERICA AND THE CARIBBEAN,649,17
305,Yury Zaostrovtsev,Russia,Stub,EUROPE,746,147.3
306,Patrick Mutono,Uganda,Stub,AFRICA,"1,284",44.1
307,Giuseppe Fenaroli Avogadro,Italy,Stub,EUROPE,746,60.6
308,Afonso Pedro Canga,Angola,Stub,AFRICA,"1,284",30.4
309,Wilhelm von Wedell-Piesdorf,Germany,Stub,EUROPE,746,82.8
310,Hans Graf von Schwerin-Löwitz,Germany,Stub,EUROPE,746,82.8
311,Geoff Muntz,Australia,Start,OCEANIA,41,24.1
312,Martiros Sarukhanyan,Armenia,Stub,ASIA,"4,536",3
313,Maria del Pilar Hurtado,Colombia,Stub,LATIN AMERICA AND THE CARIBBEAN,649,49.8
314,Giovanni Bovara,Italy,Start,EUROPE,746,60.6
315,Zvonimir Mršić,Croatia,Stub,EUROPE,746,4.1
316,Julius Muthamia,Kenya,Start,AFRICA,"1,284",51
317,Wilson Callan,Canada,Stub,NORTHERN AMERICA,365,37.2
318,Rod Moores,Canada,Stub,NORTHERN AMERICA,365,37.2
319,Georges Adwan,Lebanon,Stub,ASIA,"4,536",6.1
320,Muhammad Musa al-Amri,Yemen,C,ASIA,"4,536",28.9
321,Murray Hill Incorporated,United States,Stub,NORTHERN AMERICA,365,328
322,Aníbal Diniz,Brazil,Stub,LATIN AMERICA AND THE CARIBBEAN,649,209.4
323,Slaheddine Ben Mbarek,Tunisia,Stub,AFRICA,"1,284",11.6
324,Ali Fawzi Rebaine,Algeria,Stub,AFRICA,"1,284",42.7
325,Jochen Ott,Germany,Stub,EUROPE,746,82.8
326,Aleksander Miller,Poland,Stub,EUROPE,746,38.4
327,Sergei Gaidukevich,Belarus,Stub,EUROPE,746,9.5
328,President of Taiwan,Taiwan,Stub,ASIA,"4,536",23.6
329,Siosifa Tuʻitupou Tuʻutafaiva,Tonga,Start,OCEANIA,41,0.1
330,Qandil Cabinet,Egypt,C,AFRICA,"1,284",97
331,Ivo Andrić-Lužanski,Bosnia-Herzegovina,Stub,EUROPE,746,3.5
333,Raúl Borrás,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
334,Roque Carranza,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
335,Germán López (politician),Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
336,Electoral history of Mohammad Khatami,Iran,Start,ASIA,"4,536",81.6
337,Electoral history of Mahmoud Ahmadinejad,Iran,Start,ASIA,"4,536",81.6
338,Electoral history of Ali Larijani,Iran,Start,ASIA,"4,536",81.6
339,Meng Xiangwei,China,Stub,ASIA,"4,536","1,393.8"
340,House of Theemuge,Maldives,Stub,ASIA,"4,536",0.4
341,Ata Messan Ajavon Zeus,Togo,Stub,AFRICA,"1,284",8
342,John Rogers (Irish lawyer),Ireland,Stub,EUROPE,746,4.9
343,Mustafa Osman Obeid Salim,Sudan,Stub,AFRICA,"1,284",41.7
344,Tito Hoz de Vila,Bolivia,Start,LATIN AMERICA AND THE CARIBBEAN,649,11.3
345,Alexandré Barro Chambrier,Gabon,Start,AFRICA,"1,284",2.1
346,Md. Moniruzzaman Moni,Bangladesh,Stub,ASIA,"4,536",166.4
347,Benjamin Green Freeman,Liberia,Stub,AFRICA,"1,284",4.9
348,Han Tha Myint,Myanmar,Stub,ASIA,"4,536",53.9
349,Willem Buys,Netherlands,Stub,EUROPE,746,17.2
350,Joseph Gustave Ernest Allard,Belgium,Stub,EUROPE,746,11.4
351,Takis Papageorgopoulos,Greece,Stub,EUROPE,746,10.6
352,List of 2010 Canadian incumbents,Canada,Start,NORTHERN AMERICA,365,37.2
353,Zhu Haowen,China,Stub,ASIA,"4,536","1,393.8"
354,Abu Samah Mohd Kassim,Malaysia,Stub,ASIA,"4,536",32.5
355,Stanislaus Okurut,Uganda,Stub,AFRICA,"1,284",44.1
356,Ilmi Hallsten,Finland,Stub,EUROPE,746,5.5
357,Zhao Dezun,China,Stub,ASIA,"4,536","1,393.8"
358,Mario Occhiuto,Italy,Stub,EUROPE,746,60.6
359,Leszek Deptuła,Poland,Stub,EUROPE,746,38.4
360,Sergei Walter,Ukraine,Start,EUROPE,746,42.3
361,List of mayors of Radoviš,Macedonia,Stub,EUROPE,746,2.1
362,"Péter Szilágyi (politician, 1981)",Hungary,Start,EUROPE,746,9.8
363,Harold Collins (Canadian politician),Canada,Stub,NORTHERN AMERICA,365,37.2
364,R. G. Balan,Malaysia,Stub,ASIA,"4,536",32.5
365,Vítor Aleixo,Portugal,Stub,EUROPE,746,10.3
366,Tuomas Pohjanpalo,Finland,Stub,EUROPE,746,5.5
367,Zhang Chang (Han),China,Stub,ASIA,"4,536","1,393.8"
368,Lei Chunmei,China,Stub,ASIA,"4,536","1,393.8"
369,Franci Slak,Slovenia,Start,EUROPE,746,2.1
370,Abdus Sattar Mondal,Bangladesh,Stub,ASIA,"4,536",166.4
371,Bashir Saadawi,Libya,Stub,AFRICA,"1,284",6.5
372,Igwe Aja-Nwachukwu,Nigeria,Stub,AFRICA,"1,284",195.9
373,Speaker of the Legislative Assembly of the Province of Canada,Canada,Stub,NORTHERN AMERICA,365,37.2
374,Josif Pashko,Albania,Stub,EUROPE,746,2.9
375,Ahmed Jamsheed Mohamed,Maldives,Stub,ASIA,"4,536",0.4
376,Kerfalla Yansané,Guinea,Stub,AFRICA,"1,284",11.9
377,Amadou Konare,Mali,Stub,AFRICA,"1,284",19.4
378,João Alberto de Souza,Brazil,Stub,LATIN AMERICA AND THE CARIBBEAN,649,209.4
379,Mote Terukaio,Kiribati,Stub,OCEANIA,41,0.1
380,Tekiau Aretaateta,Kiribati,Stub,OCEANIA,41,0.1
381,Marie-José Laloy,Belgium,Stub,EUROPE,746,11.4
382,Émile Marie Laurent,France,Stub,EUROPE,746,65.1
383,Mahamat Hissene,Chad,Stub,AFRICA,"1,284",15.4
384,Rafael Tobias de Aguiar,Brazil,Stub,LATIN AMERICA AND THE CARIBBEAN,649,209.4
385,Phạm Thị Trân Châu,Vietnam,Stub,ASIA,"4,536",94.7
386,David Pacha,Solomon Islands,Stub,OCEANIA,41,0.7
387,Charles Oboth Ofumbi,Uganda,Start,AFRICA,"1,284",44.1
388,Lu Ruilin,China,Stub,ASIA,"4,536","1,393.8"
389,Lalbuaia,India,Stub,ASIA,"4,536","1,371.3"
390,Ian Brossat,France,Stub,EUROPE,746,65.1
391,Yuan Baocheng,China,Stub,ASIA,"4,536","1,393.8"
392,Pumla Kisosonkole,Uganda,Start,AFRICA,"1,284",44.1
393,Ivo Nesrovnal,Slovakia,Stub,EUROPE,746,5.4
394,Pekka Pesola,Finland,Stub,EUROPE,746,5.5
395,Jean Capelle (politician),France,Stub,EUROPE,746,65.1
396,Magnús Norðdahl,Iceland,Stub,EUROPE,746,0.4
398,Li Zaihe,China,Stub,ASIA,"4,536","1,393.8"
399,Guillermo Montenegro,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
400,Khas-Ochiryn Luvsandorj,Mongolia,Stub,ASIA,"4,536",3.2
401,Michele Columbu,Italy,Stub,EUROPE,746,60.6
402,Li Sancai,China,C,ASIA,"4,536","1,393.8"
403,Martin Zephyr,Guyana,Stub,LATIN AMERICA AND THE CARIBBEAN,649,0.8
404,Khadyr Saparlyev,Turkmenistan,Stub,ASIA,"4,536",5.9
405,Arouna Mama,Benin,Stub,AFRICA,"1,284",11.5
406,List of Dutch politicians,Netherlands,B,EUROPE,746,17.2
407,Robert Bohn Sikol,Vanuatu,C,OCEANIA,41,0.3
408,Javier Reátegui,Peru,Stub,LATIN AMERICA AND THE CARIBBEAN,649,32.2
409,Mamadou Djigué,Mali,Stub,AFRICA,"1,284",19.4
411,Nyamyn Jagvaral,Mongolia,Start,ASIA,"4,536",3.2
412,Mahadeo Deole,India,Stub,ASIA,"4,536","1,371.3"
413,Ngo Dinh Khoi,Vietnam,Stub,ASIA,"4,536",94.7
414,Jorge Lemus,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
