,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
11771,Hortensia Aragón Castillo,Mexico,C,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11772,Ifigenia Martínez y Hernández,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11773,Ingvild Vaggen Malvik,Norway,Stub,EUROPE,746,5.3
11774,Irazema González Martínez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11775,Irene Aragón Castillo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11776,Iris Vianey Mendoza,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11777,Irma Martínez Manríquez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11778,Irma Ortega Fajardo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11779,Irma Piñeyro Arias,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11780,Isabel Allende Cano,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11781,Ivette Ezeta Salcedo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11782,Ivideliza Reyes,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11783,Ivonne Ortega Pacheco,Mexico,C,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11784,Janet González Tostado,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11785,Jeny de los Reyes Aguilar,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11786,Jessica Salazar Trejo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11787,Joann Novoa Mossberger,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11788,Joaquina Navarrete Contreras,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11789,Josefina García Hernández,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11790,Josefina López Espinosa,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11791,Josefina Rodarte,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11792,Josefina Salinas Pérez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11793,Juana Barrera Amezcua,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11794,Juana Bonilla Jaime,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11795,Juana Leticia Herrera Ale,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11796,Juanita Arcelia Cruz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11797,Juanita Santillán,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11798,Judit Magdalena Guerrero,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11799,Judith Vázquez Saut,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11800,Julie Christiansen,Norway,Stub,EUROPE,746,5.3
11801,Julieta Marín Torres,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11802,Julisa Mejía Guardado,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11803,Karen Quiroga Anguiano,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11804,Karin S. Woldseth,Norway,Stub,EUROPE,746,5.3
11805,Karin Yrvin,Norway,Stub,EUROPE,746,5.3
11806,Karina Labastida Sotelo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11807,Karla González Cruz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11808,Karla Villarreal Benassini,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11809,Kattia Garza Romo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11810,Kenia López Rabadán,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11811,Laila Gustavsen,Norway,Stub,EUROPE,746,5.3
11812,Landy Berzunza Novelo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11813,Lariza Montiel Luis,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11814,Laura Angélica Rojas Hernández,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11815,Laura Arizmendi Campos,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11816,Laura Barrera Fortoul,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11817,Laura Elena Estrada Rodríguez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11818,Laura García Dávila,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11819,Laura Garza Galindo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11820,Laura Guadalupe Vargas Vargas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11821,Laura Ledesma Romo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11822,Laura Margarita Suárez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11823,Laura Martel Cantú,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11824,Laura Piña Olmedo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11825,Layda Elena Sansores,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11826,Lena Jensen,Norway,Stub,EUROPE,746,5.3
11827,Leokadija Počikovska,Lithuania,Stub,EUROPE,746,2.8
11828,Leonor Romero Sevilla,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11829,Leslie Pantoja Hernández,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11830,Leticia Calderón Ramírez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11831,Leticia Díaz de León Torres,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11832,Leticia López Landero,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11833,Leticia Orozco Torres,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11834,Leticia Quezada Contreras,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11835,Leticia Robles Colín,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11836,Leticia Sosa,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11837,Lilia Aguilar Gil,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11838,Lilia Gutiérrez Burciaga,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11839,Lilia Merodio Reza,Mexico,Start,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11840,Liliana Carbajal Méndez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11841,Lily Fabiola de la Rosa,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11842,Lizbeth Gamboa Song,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11843,Lizbeth García Coronado,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11844,Lizbeth Medina Rodríguez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11845,Lizbeth Rosas Montero,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
