,page,country,rev_id
709,R. G. Balan,Malaysia,690430012
710,Vítor Aleixo,Portugal,690548204
711,Tuomas Pohjanpalo,Finland,690700220
712,Zhang Chang (Han),China,690768683
713,Lei Chunmei,China,690770856
714,Franci Slak,Slovenia,691045510
715,Abdus Sattar Mondal,Bangladesh,691201135
716,Bashir Saadawi,Libya,691346630
717,Igwe Aja-Nwachukwu,Nigeria,691389889
718,Speaker of the Legislative Assembly of the Province of Canada,Canada,691747234
719,Josif Pashko,Albania,692123101
720,Ahmed Jamsheed Mohamed,Maldives,692141335
721,Kerfalla Yansané,Guinea,692173141
722,Amadou Konare,Mali,692298286
723,João Alberto de Souza,Brazil,692475749
724,Mote Terukaio,Kiribati,692502721
725,Tekiau Aretaateta,Kiribati,692502986
726,Marie-José Laloy,Belgium,692684868
727,Émile Marie Laurent,France,693011077
728,Mahamat Hissene,Chad,693055898
729,Rafael Tobias de Aguiar,Brazil,693179500
730,Phạm Thị Trân Châu,Vietnam,693208023
731,David Pacha,Solomon Islands,693211421
732,Charles Oboth Ofumbi,Uganda,693292931
733,Lu Ruilin,China,693336296
734,Lalbuaia,India,693337130
735,Ian Brossat,France,693338177
736,Yuan Baocheng,China,693354280
737,Pumla Kisosonkole,Uganda,693388584
738,Ivo Nesrovnal,Slovakia,693431430
739,Pekka Pesola,Finland,693514155
740,Jean Capelle (politician),France,693552292
741,Magnús Norðdahl,Iceland,693573541
742,John Blades Currey,Cape Colony,693624260
743,Li Zaihe,China,693661018
744,Guillermo Montenegro,Argentina,693714773
745,Khas-Ochiryn Luvsandorj,Mongolia,693721533
746,Michele Columbu,Italy,693748230
747,Li Sancai,China,693817205
748,Martin Zephyr,Guyana,694039903
749,Khadyr Saparlyev,Turkmenistan,694084978
750,Arouna Mama,Benin,694112087
751,List of Dutch politicians,Netherlands,694313944
752,Robert Bohn Sikol,Vanuatu,694335820
753,Javier Reátegui,Peru,694337217
754,Mamadou Djigué,Mali,694364743
755,Zaur Avidzba,Abkhazia,694519009
756,Nyamyn Jagvaral,Mongolia,694557304
757,Mahadeo Deole,India,694588693
758,Ngo Dinh Khoi,Vietnam,694815600
759,Jorge Lemus,Argentina,694889020
760,Viktor Magnus von Born,Finland,694949199
761,Lennart Byman,Finland,694949347
762,Hamid Khan Achakzai,Pakistan,694954386
763,Johan Helo,Finland,694969219
764,Gunnar Henriksson,Finland,694969272
765,Cecilia Soria,Argentina,695276940
766,Francisco de Arango y Parreño,Cuba,695389357
767,Tian Xiangli,China,695393414
768,Ridha Charfeddine,Tunisia,695405443
769,Tjapko Poppens,Netherlands,695633280
770,Pradip Kumar Gyawali,Nepal,695644408
771,Thierry Poyet,Monaco,695938011
772,Eric Elena,Monaco,695941127
774,Kalikst Witkowski,Poland,696119166
775,Nikos Markatos,Greece,696253449
776,Dobrilo Dedeić,Montenegro,696310078
777,Navin Patel,Fiji,696350624
778,Christopher Nwankwo,Nigeria,696479863
779,Electoral history of Atal Bihari Vajpayee,India,696606312
780,Khanzahi,Iran,696608092
781,Palden Tsering Gyamtso,India,696608668
782,Soledad Sosa,Argentina,697009255
783,Shafi U Ahmed,Bangladesh,697267319
784,Omar Benjelloun,Morocco,697280332
785,Fernão Martins da Fonseca Coutinho,Portugal,697369222
786,Jean-François Robillon,Monaco,697507956
787,Lhatu Wangchuk,Bhutan,697511001
788,Tek Bahadur Gurung,Nepal,697556836
789,Mohammad Sultan,Bangladesh,697559666
790,Gaya Prasad,India,697662367
791,Political Bureau of the Central Committee of FRELIMO,Mozambique,697742639
